input,intent,response
well how are you today,wellbeing,I'm functioning perfectly. How can I help you?
umm how are you,wellbeing,I'm functioning perfectly. How can I help you?
hey introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
ok i have to go sir,farewell,Goodbye! Have a wonderful day.
yo can you explain now,confusion,I apologize. Let me try to be clearer.
i dont understand friend,confusion,I apologize. Let me try to be clearer.
please see you,farewell,Goodbye! Have a wonderful day.
hi there mam,greeting,Hello! How can I help you today?
well i am confused now,confusion,I apologize. Let me try to be clearer.
actually thanks now,gratitude,You are very welcome!
listen will you marry me buddy,love,That is very kind of you to say!
you are dumb bot,insult,I apologize if I disappointed you. I am still learning.
so hello,greeting,Hello! How can I help you today?
please nice work,compliment,Thank you! I appreciate the positive feedback.
thank you today,gratitude,You are very welcome!
actually bad bot please,insult,I apologize if I disappointed you. I am still learning.
well you are smart bot,compliment,Thank you! I appreciate the positive feedback.
help me sir,capabilities,I can answer questions and chat with you.
actually thanks,gratitude,You are very welcome!
good job buddy,compliment,Thank you! I appreciate the positive feedback.
hey what can you do friend,capabilities,I can answer questions and chat with you.
i dont understand bot,confusion,I apologize. Let me try to be clearer.
ok can you explain,confusion,I apologize. Let me try to be clearer.
ok how do you work,capabilities,I can answer questions and chat with you.
actually how are things,wellbeing,I'm functioning perfectly. How can I help you?
ok good morning,greeting,Hello! How can I help you today?
bad bot sir,insult,I apologize if I disappointed you. I am still learning.
i dont understand sir,confusion,I apologize. Let me try to be clearer.
umm i dont understand,confusion,I apologize. Let me try to be clearer.
yo can you explain now,confusion,I apologize. Let me try to be clearer.
umm what is your name bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please thank you,gratitude,You are very welcome!
well i love you please,love,That is very kind of you to say!
hey are you a bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
i have to go mam,farewell,Goodbye! Have a wonderful day.
i like you bot,love,That is very kind of you to say!
you suck actually,insult,I apologize if I disappointed you. I am still learning.
ok how do you feel now,wellbeing,I'm functioning perfectly. How can I help you?
what are your features now,capabilities,I can answer questions and chat with you.
actually help me buddy,capabilities,I can answer questions and chat with you.
umm i am confused buddy,confusion,I apologize. Let me try to be clearer.
introduce yourself buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
are you a bot now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you are stupid please,insult,I apologize if I disappointed you. I am still learning.
what's up actually,wellbeing,I'm functioning perfectly. How can I help you?
yo thanks a lot,gratitude,You are very welcome!
actually you are cute,love,That is very kind of you to say!
well hello,greeting,Hello! How can I help you today?
how do you work bot,capabilities,I can answer questions and chat with you.
umm what do you mean actually,confusion,I apologize. Let me try to be clearer.
so i dont understand bot,confusion,I apologize. Let me try to be clearer.
ok how do you feel today,wellbeing,I'm functioning perfectly. How can I help you?
actually you are stupid,insult,I apologize if I disappointed you. I am still learning.
actually i like you today,love,That is very kind of you to say!
bye buddy,farewell,Goodbye! Have a wonderful day.
you are amazing friend,compliment,Thank you! I appreciate the positive feedback.
please hey today,greeting,Hello! How can I help you today?
how are you now,wellbeing,I'm functioning perfectly. How can I help you?
well well done,compliment,Thank you! I appreciate the positive feedback.
ok i dont understand bot,confusion,I apologize. Let me try to be clearer.
so i love you friend,love,That is very kind of you to say!
bye buddy,farewell,Goodbye! Have a wonderful day.
how do you work sir,capabilities,I can answer questions and chat with you.
hey good evening please,greeting,Hello! How can I help you today?
hey there friend,greeting,Hello! How can I help you today?
what is your name now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey i am confused,confusion,I apologize. Let me try to be clearer.
actually what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
so will you marry me sir,love,That is very kind of you to say!
well thank you,gratitude,You are very welcome!
actually you are amazing,compliment,Thank you! I appreciate the positive feedback.
umm what can you do,capabilities,I can answer questions and chat with you.
hey i am confused friend,confusion,I apologize. Let me try to be clearer.
well what is your name buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually good night please,farewell,Goodbye! Have a wonderful day.
hey good evening friend,greeting,Hello! How can I help you today?
hey who are you actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you suck please,insult,I apologize if I disappointed you. I am still learning.
actually help me,capabilities,I can answer questions and chat with you.
ok bad bot friend,insult,I apologize if I disappointed you. I am still learning.
hey goodbye,farewell,Goodbye! Have a wonderful day.
ok you are stupid buddy,insult,I apologize if I disappointed you. I am still learning.
goodbye please,farewell,Goodbye! Have a wonderful day.
ok good job,compliment,Thank you! I appreciate the positive feedback.
yo what do you mean buddy,confusion,I apologize. Let me try to be clearer.
please you are stupid today,insult,I apologize if I disappointed you. I am still learning.
introduce yourself buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually what can you do now,capabilities,I can answer questions and chat with you.
listen you are smart bot,compliment,Thank you! I appreciate the positive feedback.
ok goodbye bot,farewell,Goodbye! Have a wonderful day.
i like you mam,love,That is very kind of you to say!
you are dumb sir,insult,I apologize if I disappointed you. I am still learning.
yo see you friend,farewell,Goodbye! Have a wonderful day.
umm goodbye buddy,farewell,Goodbye! Have a wonderful day.
you suck sir,insult,I apologize if I disappointed you. I am still learning.
how are things friend,wellbeing,I'm functioning perfectly. How can I help you?
listen i dont understand,confusion,I apologize. Let me try to be clearer.
who are you today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
thanks today,gratitude,You are very welcome!
what is your name actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually well done friend,compliment,Thank you! I appreciate the positive feedback.
listen i dont understand please,confusion,I apologize. Let me try to be clearer.
good evening please,greeting,Hello! How can I help you today?
good job now,compliment,Thank you! I appreciate the positive feedback.
good evening bot,greeting,Hello! How can I help you today?
actually what can you do,capabilities,I can answer questions and chat with you.
are you a bot sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
umm you suck,insult,I apologize if I disappointed you. I am still learning.
what can you do now,capabilities,I can answer questions and chat with you.
i have to go mam,farewell,Goodbye! Have a wonderful day.
umm hey please,greeting,Hello! How can I help you today?
well i dont understand today,confusion,I apologize. Let me try to be clearer.
i dont understand mam,confusion,I apologize. Let me try to be clearer.
well well done,compliment,Thank you! I appreciate the positive feedback.
umm cya today,farewell,Goodbye! Have a wonderful day.
what's up actually,wellbeing,I'm functioning perfectly. How can I help you?
what do you mean buddy,confusion,I apologize. Let me try to be clearer.
so are you a bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey you suck mam,insult,I apologize if I disappointed you. I am still learning.
i like you mam,love,That is very kind of you to say!
how is it going sir,wellbeing,I'm functioning perfectly. How can I help you?
bad bot now,insult,I apologize if I disappointed you. I am still learning.
hey bad bot mam,insult,I apologize if I disappointed you. I am still learning.
bye buddy,farewell,Goodbye! Have a wonderful day.
well good night today,farewell,Goodbye! Have a wonderful day.
listen good morning today,greeting,Hello! How can I help you today?
thank you sir,gratitude,You are very welcome!
well hey friend,greeting,Hello! How can I help you today?
i like you today,love,That is very kind of you to say!
please i love you buddy,love,That is very kind of you to say!
how are you today,wellbeing,I'm functioning perfectly. How can I help you?
ok how do you work,capabilities,I can answer questions and chat with you.
thank you please,gratitude,You are very welcome!
hey help me,capabilities,I can answer questions and chat with you.
ok well done actually,compliment,Thank you! I appreciate the positive feedback.
good morning sir,greeting,Hello! How can I help you today?
help me sir,capabilities,I can answer questions and chat with you.
please what are you buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well i dont understand actually,confusion,I apologize. Let me try to be clearer.
hey how do you work mam,capabilities,I can answer questions and chat with you.
you are smart friend,compliment,Thank you! I appreciate the positive feedback.
what is your name mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you are amazing buddy,compliment,Thank you! I appreciate the positive feedback.
yo appreciate it friend,gratitude,You are very welcome!
thanks a lot now,gratitude,You are very welcome!
how are things today,wellbeing,I'm functioning perfectly. How can I help you?
actually what are you actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually hi there,greeting,Hello! How can I help you today?
umm you are stupid,insult,I apologize if I disappointed you. I am still learning.
thank you now,gratitude,You are very welcome!
ok can you explain friend,confusion,I apologize. Let me try to be clearer.
umm what can you do,capabilities,I can answer questions and chat with you.
i love you today,love,That is very kind of you to say!
yo i have to go now,farewell,Goodbye! Have a wonderful day.
umm you are smart friend,compliment,Thank you! I appreciate the positive feedback.
listen introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
bad bot please,insult,I apologize if I disappointed you. I am still learning.
ok you are cute,love,That is very kind of you to say!
umm hi there,greeting,Hello! How can I help you today?
i love you friend,love,That is very kind of you to say!
umm hi bot,greeting,Hello! How can I help you today?
listen introduce yourself actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you are smart mam,compliment,Thank you! I appreciate the positive feedback.
how do you feel bot,wellbeing,I'm functioning perfectly. How can I help you?
hey what do you mean actually,confusion,I apologize. Let me try to be clearer.
hey how are you,wellbeing,I'm functioning perfectly. How can I help you?
thanks sir,gratitude,You are very welcome!
what can you do please,capabilities,I can answer questions and chat with you.
ok how do you work,capabilities,I can answer questions and chat with you.
actually help me bot,capabilities,I can answer questions and chat with you.
thx now,gratitude,You are very welcome!
umm thx please,gratitude,You are very welcome!
will you marry me mam,love,That is very kind of you to say!
ok appreciate it,gratitude,You are very welcome!
i love you actually,love,That is very kind of you to say!
please what are you now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
listen bad bot,insult,I apologize if I disappointed you. I am still learning.
well hi there,greeting,Hello! How can I help you today?
so well done,compliment,Thank you! I appreciate the positive feedback.
what do you mean buddy,confusion,I apologize. Let me try to be clearer.
please how are things sir,wellbeing,I'm functioning perfectly. How can I help you?
actually i am confused,confusion,I apologize. Let me try to be clearer.
please cya,farewell,Goodbye! Have a wonderful day.
hi mam,greeting,Hello! How can I help you today?
well who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo good evening bot,greeting,Hello! How can I help you today?
yo can you explain please,confusion,I apologize. Let me try to be clearer.
what do you mean please,confusion,I apologize. Let me try to be clearer.
please introduce yourself sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
listen bye,farewell,Goodbye! Have a wonderful day.
so i am confused,confusion,I apologize. Let me try to be clearer.
so greetings,greeting,Hello! How can I help you today?
ok bad bot sir,insult,I apologize if I disappointed you. I am still learning.
hey who are you now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
good morning friend,greeting,Hello! How can I help you today?
listen who are you bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
how is it going today,wellbeing,I'm functioning perfectly. How can I help you?
actually good job please,compliment,Thank you! I appreciate the positive feedback.
hi today,greeting,Hello! How can I help you today?
hey can you explain,confusion,I apologize. Let me try to be clearer.
umm good job,compliment,Thank you! I appreciate the positive feedback.
listen appreciate it,gratitude,You are very welcome!
listen help me,capabilities,I can answer questions and chat with you.
listen i love you today,love,That is very kind of you to say!
hey what are you bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
introduce yourself bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well thanks,gratitude,You are very welcome!
i like you please,love,That is very kind of you to say!
yo useless today,insult,I apologize if I disappointed you. I am still learning.
ok how are things,wellbeing,I'm functioning perfectly. How can I help you?
ok talk to you later friend,farewell,Goodbye! Have a wonderful day.
you are amazing bot,compliment,Thank you! I appreciate the positive feedback.
actually you are stupid,insult,I apologize if I disappointed you. I am still learning.
well how do you work,capabilities,I can answer questions and chat with you.
well well done sir,compliment,Thank you! I appreciate the positive feedback.
well are you a bot sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
listen what are your features,capabilities,I can answer questions and chat with you.
how do you work buddy,capabilities,I can answer questions and chat with you.
actually how are you please,wellbeing,I'm functioning perfectly. How can I help you?
how do you feel bot,wellbeing,I'm functioning perfectly. How can I help you?
will you marry me actually,love,That is very kind of you to say!
actually thanks a lot friend,gratitude,You are very welcome!
well what's up,wellbeing,I'm functioning perfectly. How can I help you?
well can you explain,confusion,I apologize. Let me try to be clearer.
hi buddy,greeting,Hello! How can I help you today?
please i like you friend,love,That is very kind of you to say!
so what's up,wellbeing,I'm functioning perfectly. How can I help you?
you are amazing bot,compliment,Thank you! I appreciate the positive feedback.
so i have to go now,farewell,Goodbye! Have a wonderful day.
goodbye actually,farewell,Goodbye! Have a wonderful day.
so how is it going friend,wellbeing,I'm functioning perfectly. How can I help you?
umm good morning,greeting,Hello! How can I help you today?
appreciate it actually,gratitude,You are very welcome!
cya today,farewell,Goodbye! Have a wonderful day.
actually thx please,gratitude,You are very welcome!
yo i like you,love,That is very kind of you to say!
well you suck,insult,I apologize if I disappointed you. I am still learning.
i have to go now,farewell,Goodbye! Have a wonderful day.
i dont understand now,confusion,I apologize. Let me try to be clearer.
please what do you mean today,confusion,I apologize. Let me try to be clearer.
ok i love you,love,That is very kind of you to say!
good job bot,compliment,Thank you! I appreciate the positive feedback.
well i am confused,confusion,I apologize. Let me try to be clearer.
useless bot,insult,I apologize if I disappointed you. I am still learning.
yo i love you buddy,love,That is very kind of you to say!
hey there bot,greeting,Hello! How can I help you today?
actually hi there,greeting,Hello! How can I help you today?
actually nice work today,compliment,Thank you! I appreciate the positive feedback.
how do you feel buddy,wellbeing,I'm functioning perfectly. How can I help you?
good night mam,farewell,Goodbye! Have a wonderful day.
goodbye friend,farewell,Goodbye! Have a wonderful day.
so what can you do,capabilities,I can answer questions and chat with you.
well you are stupid please,insult,I apologize if I disappointed you. I am still learning.
please how do you work sir,capabilities,I can answer questions and chat with you.
actually what are your features now,capabilities,I can answer questions and chat with you.
ok hi,greeting,Hello! How can I help you today?
bad bot sir,insult,I apologize if I disappointed you. I am still learning.
umm you are cute friend,love,That is very kind of you to say!
you are smart friend,compliment,Thank you! I appreciate the positive feedback.
listen hello today,greeting,Hello! How can I help you today?
you suck actually,insult,I apologize if I disappointed you. I am still learning.
listen thank you bot,gratitude,You are very welcome!
well you suck buddy,insult,I apologize if I disappointed you. I am still learning.
umm how do you work please,capabilities,I can answer questions and chat with you.
hello today,greeting,Hello! How can I help you today?
hey how do you work friend,capabilities,I can answer questions and chat with you.
who are you mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey will you marry me buddy,love,That is very kind of you to say!
well good night friend,farewell,Goodbye! Have a wonderful day.
actually talk to you later friend,farewell,Goodbye! Have a wonderful day.
umm you are cute please,love,That is very kind of you to say!
ok can you explain,confusion,I apologize. Let me try to be clearer.
how are you actually,wellbeing,I'm functioning perfectly. How can I help you?
how are you now,wellbeing,I'm functioning perfectly. How can I help you?
yo good morning now,greeting,Hello! How can I help you today?
hey what can you do,capabilities,I can answer questions and chat with you.
listen i love you,love,That is very kind of you to say!
yo what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you are dumb now,insult,I apologize if I disappointed you. I am still learning.
umm cya,farewell,Goodbye! Have a wonderful day.
what do you mean now,confusion,I apologize. Let me try to be clearer.
umm what can you do,capabilities,I can answer questions and chat with you.
yo thanks a lot,gratitude,You are very welcome!
yo what can you do,capabilities,I can answer questions and chat with you.
please what are your features,capabilities,I can answer questions and chat with you.
what is your name friend,identity,"I am SHAKTI 2.0, a human interaction dataset model."
how are things bot,wellbeing,I'm functioning perfectly. How can I help you?
you are amazing bot,compliment,Thank you! I appreciate the positive feedback.
yo how are you,wellbeing,I'm functioning perfectly. How can I help you?
umm useless buddy,insult,I apologize if I disappointed you. I am still learning.
you are cute mam,love,That is very kind of you to say!
please good night sir,farewell,Goodbye! Have a wonderful day.
so you are cute today,love,That is very kind of you to say!
actually thx,gratitude,You are very welcome!
please what can you do,capabilities,I can answer questions and chat with you.
you suck buddy,insult,I apologize if I disappointed you. I am still learning.
please bye,farewell,Goodbye! Have a wonderful day.
i have to go friend,farewell,Goodbye! Have a wonderful day.
actually will you marry me actually,love,That is very kind of you to say!
actually good morning,greeting,Hello! How can I help you today?
i am confused actually,confusion,I apologize. Let me try to be clearer.
ok thx sir,gratitude,You are very welcome!
so what are your features actually,capabilities,I can answer questions and chat with you.
i like you please,love,That is very kind of you to say!
hello bot,greeting,Hello! How can I help you today?
ok what are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
so hello now,greeting,Hello! How can I help you today?
ok hi there,greeting,Hello! How can I help you today?
umm what can you do,capabilities,I can answer questions and chat with you.
how are you sir,wellbeing,I'm functioning perfectly. How can I help you?
yo cya,farewell,Goodbye! Have a wonderful day.
well help me now,capabilities,I can answer questions and chat with you.
introduce yourself mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well appreciate it now,gratitude,You are very welcome!
umm i like you friend,love,That is very kind of you to say!
good job mam,compliment,Thank you! I appreciate the positive feedback.
please help me now,capabilities,I can answer questions and chat with you.
how do you feel mam,wellbeing,I'm functioning perfectly. How can I help you?
yo you are cute,love,That is very kind of you to say!
you are smart today,compliment,Thank you! I appreciate the positive feedback.
actually i am confused,confusion,I apologize. Let me try to be clearer.
yo what are your features,capabilities,I can answer questions and chat with you.
hey you suck,insult,I apologize if I disappointed you. I am still learning.
how is it going buddy,wellbeing,I'm functioning perfectly. How can I help you?
hey talk to you later,farewell,Goodbye! Have a wonderful day.
actually how is it going now,wellbeing,I'm functioning perfectly. How can I help you?
you are stupid actually,insult,I apologize if I disappointed you. I am still learning.
what do you mean now,confusion,I apologize. Let me try to be clearer.
umm can you explain please,confusion,I apologize. Let me try to be clearer.
please you are smart mam,compliment,Thank you! I appreciate the positive feedback.
actually i am confused sir,confusion,I apologize. Let me try to be clearer.
umm will you marry me,love,That is very kind of you to say!
well goodbye,farewell,Goodbye! Have a wonderful day.
ok you are smart,compliment,Thank you! I appreciate the positive feedback.
ok i like you buddy,love,That is very kind of you to say!
umm i dont understand,confusion,I apologize. Let me try to be clearer.
so i love you,love,That is very kind of you to say!
actually you are dumb now,insult,I apologize if I disappointed you. I am still learning.
so i dont understand,confusion,I apologize. Let me try to be clearer.
greetings mam,greeting,Hello! How can I help you today?
hey sir,greeting,Hello! How can I help you today?
ok bye,farewell,Goodbye! Have a wonderful day.
listen useless,insult,I apologize if I disappointed you. I am still learning.
please how is it going buddy,wellbeing,I'm functioning perfectly. How can I help you?
i am confused actually,confusion,I apologize. Let me try to be clearer.
actually what can you do,capabilities,I can answer questions and chat with you.
you suck sir,insult,I apologize if I disappointed you. I am still learning.
please you are amazing friend,compliment,Thank you! I appreciate the positive feedback.
can you explain please,confusion,I apologize. Let me try to be clearer.
help me please,capabilities,I can answer questions and chat with you.
actually bye,farewell,Goodbye! Have a wonderful day.
umm how do you work,capabilities,I can answer questions and chat with you.
well you are stupid,insult,I apologize if I disappointed you. I am still learning.
can you explain mam,confusion,I apologize. Let me try to be clearer.
ok what's up,wellbeing,I'm functioning perfectly. How can I help you?
please bad bot,insult,I apologize if I disappointed you. I am still learning.
help me friend,capabilities,I can answer questions and chat with you.
you are dumb sir,insult,I apologize if I disappointed you. I am still learning.
ok goodbye,farewell,Goodbye! Have a wonderful day.
listen introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
umm who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually what can you do,capabilities,I can answer questions and chat with you.
hey cya please,farewell,Goodbye! Have a wonderful day.
how is it going buddy,wellbeing,I'm functioning perfectly. How can I help you?
well what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
what do you mean today,confusion,I apologize. Let me try to be clearer.
are you a bot actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually you are dumb please,insult,I apologize if I disappointed you. I am still learning.
what are your features actually,capabilities,I can answer questions and chat with you.
please appreciate it bot,gratitude,You are very welcome!
what do you mean please,confusion,I apologize. Let me try to be clearer.
well goodbye,farewell,Goodbye! Have a wonderful day.
well what's up please,wellbeing,I'm functioning perfectly. How can I help you?
well introduce yourself please,identity,"I am SHAKTI 2.0, a human interaction dataset model."
ok good night sir,farewell,Goodbye! Have a wonderful day.
please can you explain,confusion,I apologize. Let me try to be clearer.
yo you are cute,love,That is very kind of you to say!
yo you are cute now,love,That is very kind of you to say!
yo can you explain,confusion,I apologize. Let me try to be clearer.
actually i like you,love,That is very kind of you to say!
yo you are stupid today,insult,I apologize if I disappointed you. I am still learning.
what do you mean today,confusion,I apologize. Let me try to be clearer.
please help me actually,capabilities,I can answer questions and chat with you.
thanks a lot today,gratitude,You are very welcome!
umm see you,farewell,Goodbye! Have a wonderful day.
well how do you work buddy,capabilities,I can answer questions and chat with you.
what can you do mam,capabilities,I can answer questions and chat with you.
ok talk to you later,farewell,Goodbye! Have a wonderful day.
are you a bot buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well bad bot bot,insult,I apologize if I disappointed you. I am still learning.
please useless now,insult,I apologize if I disappointed you. I am still learning.
what are you friend,identity,"I am SHAKTI 2.0, a human interaction dataset model."
how do you feel sir,wellbeing,I'm functioning perfectly. How can I help you?
so help me actually,capabilities,I can answer questions and chat with you.
well goodbye,farewell,Goodbye! Have a wonderful day.
umm good morning,greeting,Hello! How can I help you today?
well see you actually,farewell,Goodbye! Have a wonderful day.
ok what are your features actually,capabilities,I can answer questions and chat with you.
umm good morning,greeting,Hello! How can I help you today?
greetings actually,greeting,Hello! How can I help you today?
umm who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
good job mam,compliment,Thank you! I appreciate the positive feedback.
greetings sir,greeting,Hello! How can I help you today?
ok you are cute sir,love,That is very kind of you to say!
nice work today,compliment,Thank you! I appreciate the positive feedback.
listen how do you feel please,wellbeing,I'm functioning perfectly. How can I help you?
thx now,gratitude,You are very welcome!
what is your name today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually cya,farewell,Goodbye! Have a wonderful day.
help me sir,capabilities,I can answer questions and chat with you.
please what is your name actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
what are your features buddy,capabilities,I can answer questions and chat with you.
yo you are stupid,insult,I apologize if I disappointed you. I am still learning.
so greetings bot,greeting,Hello! How can I help you today?
ok what can you do,capabilities,I can answer questions and chat with you.
help me bot,capabilities,I can answer questions and chat with you.
ok i love you,love,That is very kind of you to say!
ok bye actually,farewell,Goodbye! Have a wonderful day.
i have to go please,farewell,Goodbye! Have a wonderful day.
ok good morning,greeting,Hello! How can I help you today?
hello mam,greeting,Hello! How can I help you today?
good morning today,greeting,Hello! How can I help you today?
how are you now,wellbeing,I'm functioning perfectly. How can I help you?
ok thx,gratitude,You are very welcome!
listen you are stupid,insult,I apologize if I disappointed you. I am still learning.
i have to go buddy,farewell,Goodbye! Have a wonderful day.
actually i dont understand actually,confusion,I apologize. Let me try to be clearer.
umm hello actually,greeting,Hello! How can I help you today?
well hey there,greeting,Hello! How can I help you today?
well done friend,compliment,Thank you! I appreciate the positive feedback.
will you marry me friend,love,That is very kind of you to say!
so i dont understand,confusion,I apologize. Let me try to be clearer.
you are smart actually,compliment,Thank you! I appreciate the positive feedback.
actually i have to go friend,farewell,Goodbye! Have a wonderful day.
so talk to you later buddy,farewell,Goodbye! Have a wonderful day.
you are amazing now,compliment,Thank you! I appreciate the positive feedback.
ok nice work please,compliment,Thank you! I appreciate the positive feedback.
listen will you marry me actually,love,That is very kind of you to say!
umm good morning please,greeting,Hello! How can I help you today?
how is it going now,wellbeing,I'm functioning perfectly. How can I help you?
yo well done,compliment,Thank you! I appreciate the positive feedback.
goodbye now,farewell,Goodbye! Have a wonderful day.
hey good night,farewell,Goodbye! Have a wonderful day.
ok how are you actually,wellbeing,I'm functioning perfectly. How can I help you?
umm what do you mean,confusion,I apologize. Let me try to be clearer.
umm what's up today,wellbeing,I'm functioning perfectly. How can I help you?
yo how is it going,wellbeing,I'm functioning perfectly. How can I help you?
bye bot,farewell,Goodbye! Have a wonderful day.
what do you mean now,confusion,I apologize. Let me try to be clearer.
hi there buddy,greeting,Hello! How can I help you today?
actually i have to go,farewell,Goodbye! Have a wonderful day.
what do you mean actually,confusion,I apologize. Let me try to be clearer.
ok i dont understand,confusion,I apologize. Let me try to be clearer.
yo useless,insult,I apologize if I disappointed you. I am still learning.
hi now,greeting,Hello! How can I help you today?
please thx,gratitude,You are very welcome!
i am confused today,confusion,I apologize. Let me try to be clearer.
so thanks a lot,gratitude,You are very welcome!
what do you mean bot,confusion,I apologize. Let me try to be clearer.
i am confused bot,confusion,I apologize. Let me try to be clearer.
well goodbye,farewell,Goodbye! Have a wonderful day.
yo thanks a lot please,gratitude,You are very welcome!
actually appreciate it now,gratitude,You are very welcome!
what's up bot,wellbeing,I'm functioning perfectly. How can I help you?
see you now,farewell,Goodbye! Have a wonderful day.
actually greetings sir,greeting,Hello! How can I help you today?
hey greetings,greeting,Hello! How can I help you today?
listen what are your features,capabilities,I can answer questions and chat with you.
ok can you explain,confusion,I apologize. Let me try to be clearer.
what are you now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well what's up buddy,wellbeing,I'm functioning perfectly. How can I help you?
umm well done,compliment,Thank you! I appreciate the positive feedback.
so appreciate it,gratitude,You are very welcome!
what can you do now,capabilities,I can answer questions and chat with you.
umm what are your features,capabilities,I can answer questions and chat with you.
how are you bot,wellbeing,I'm functioning perfectly. How can I help you?
what's up please,wellbeing,I'm functioning perfectly. How can I help you?
umm useless,insult,I apologize if I disappointed you. I am still learning.
actually what are your features now,capabilities,I can answer questions and chat with you.
listen how are you sir,wellbeing,I'm functioning perfectly. How can I help you?
listen thank you,gratitude,You are very welcome!
yo thanks,gratitude,You are very welcome!
cya sir,farewell,Goodbye! Have a wonderful day.
well help me actually,capabilities,I can answer questions and chat with you.
yo you suck,insult,I apologize if I disappointed you. I am still learning.
hey there today,greeting,Hello! How can I help you today?
listen talk to you later,farewell,Goodbye! Have a wonderful day.
listen what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please cya sir,farewell,Goodbye! Have a wonderful day.
listen you are smart please,compliment,Thank you! I appreciate the positive feedback.
umm you are amazing today,compliment,Thank you! I appreciate the positive feedback.
ok hey,greeting,Hello! How can I help you today?
how do you work now,capabilities,I can answer questions and chat with you.
talk to you later bot,farewell,Goodbye! Have a wonderful day.
yo goodbye,farewell,Goodbye! Have a wonderful day.
ok hi mam,greeting,Hello! How can I help you today?
actually how are you,wellbeing,I'm functioning perfectly. How can I help you?
hey i have to go friend,farewell,Goodbye! Have a wonderful day.
so you suck actually,insult,I apologize if I disappointed you. I am still learning.
hi bot,greeting,Hello! How can I help you today?
well i am confused,confusion,I apologize. Let me try to be clearer.
thanks a lot friend,gratitude,You are very welcome!
yo i like you now,love,That is very kind of you to say!
actually see you please,farewell,Goodbye! Have a wonderful day.
well thanks a lot,gratitude,You are very welcome!
ok bad bot,insult,I apologize if I disappointed you. I am still learning.
yo how is it going,wellbeing,I'm functioning perfectly. How can I help you?
actually what can you do,capabilities,I can answer questions and chat with you.
bad bot mam,insult,I apologize if I disappointed you. I am still learning.
you are stupid buddy,insult,I apologize if I disappointed you. I am still learning.
listen what are your features,capabilities,I can answer questions and chat with you.
ok hey today,greeting,Hello! How can I help you today?
hey can you explain,confusion,I apologize. Let me try to be clearer.
ok thanks,gratitude,You are very welcome!
well you are stupid today,insult,I apologize if I disappointed you. I am still learning.
yo see you,farewell,Goodbye! Have a wonderful day.
umm hello bot,greeting,Hello! How can I help you today?
hey there actually,greeting,Hello! How can I help you today?
listen hi,greeting,Hello! How can I help you today?
hey how do you feel buddy,wellbeing,I'm functioning perfectly. How can I help you?
umm thank you,gratitude,You are very welcome!
yo what do you mean today,confusion,I apologize. Let me try to be clearer.
thanks a lot now,gratitude,You are very welcome!
i dont understand bot,confusion,I apologize. Let me try to be clearer.
hey there friend,greeting,Hello! How can I help you today?
well done now,compliment,Thank you! I appreciate the positive feedback.
hey you are dumb actually,insult,I apologize if I disappointed you. I am still learning.
